Origem;Destino;Peso;Volume;Natureza_Mercadoria;Tipo_Veiculo;Prazo_Entrega
Sao Bernardo do Campo-SP;Presidente Prudente-SP;20.163.000;143;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Aracatuba-SP;6.624.600;54;NESTLE;Caminhao 3/4;72
Sao Bernardo do Campo-SP;Campinas-SP;1.130.000;22;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Campinas-SP;27.521.840;237;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Sao Jose dos Campos-SP;726.000;12;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Guarulhos-SP;46.840.000;5619;NESTLE;Toco;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;6.497.400;98;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;11.220;16;NESTLE;DUCATO;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;6.198.700;54;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Santos-SP;3.916.800;62;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.400.000;10;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Cotia-SP;5.383.200;48;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;75.800;6;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;110.300;3;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;96.200;1;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Cotia-SP;156.600;1;NESTLE;Sprinter longa;48
Sao Bernardo do Campo-SP;Vargem Grande Paulista-SP;203.400;10;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Vargem Grande Paulista-SP;8.400.000;50;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Cotia-SP;133.650;6;NESTLE;Sprinter longa;48
Sao Bernardo do Campo-SP;Jundiai-SP;84.434.750;1240;NESTLE;Truck;72
Sao Bernardo do Campo-SP;Itapecerica da Serra-SP;616.500;11;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Cotia-SP;187.650;2;NESTLE;Sprinter longa;48
